Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
Plylst9.wpl,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/All Users/Documents/My Music/Sample Playlists/Plylst9.wpl",,,application/octet-stream,wpl
MPC7AC.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7AC.tmp",,,application/octet-stream,tmp
MPC7AD.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7AD.tmp",,,application/octet-stream,tmp
MPC7AE.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7AE.tmp",,,application/octet-stream,tmp
MPC7AF.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7AF.tmp",,,application/octet-stream,tmp
MPC7B0.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7B0.tmp",,,application/octet-stream,tmp
MPC7B1.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7B1.tmp",,,application/octet-stream,tmp
MPC7B2.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7B2.tmp",,,application/octet-stream,tmp
MPC7B3.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7B3.tmp",,,application/octet-stream,tmp
MPC7B4.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7B4.tmp",,,application/octet-stream,tmp
MPC7C0.tmp,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/Documents and Settings/Default User/MPC7C0.tmp",,,application/octet-stream,tmp
