Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension,Location
"$OrphanFiles","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Allocated,Allocated,unknown,,,,,
"$Extend","2013-10-24 16:25:58 WEST","2013-10-24 16:25:58 WEST","2013-10-24 16:25:58 WEST","2013-10-24 16:25:58 WEST",344,Allocated,Allocated,unknown,,,,,"/img_image.dd/$Extend"
"$Unalloc","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Allocated,Allocated,unknown,,,,,
"[current folder]","2013-10-28 11:51:42 WET","2013-10-28 11:51:42 WET","2013-10-28 17:21:53 WET","2013-10-24 16:25:58 WEST",56,Allocated,Allocated,unknown,,,,,/img_image.dd/.
"Documents and Settings","2013-10-24 16:07:45 WEST","2013-10-24 16:07:45 WEST","2013-10-28 17:21:53 WET","2013-10-24 16:31:41 WEST",56,Allocated,Allocated,unknown,,,,,"/img_image.dd/Documents and Settings"
"Program Files","2013-10-24 16:07:47 WEST","2013-10-24 16:07:47 WEST","2013-10-28 17:21:53 WET","2013-10-24 16:32:18 WEST",56,Allocated,Allocated,unknown,,,,,"/img_image.dd/Program Files"
RECYCLER,"2013-10-28 11:51:42 WET","2013-10-28 11:51:42 WET","2013-10-28 17:26:25 WET","2013-10-28 11:51:42 WET",328,Allocated,Allocated,unknown,,,,,/img_image.dd/RECYCLER
"System Volume Information","2013-10-24 16:01:53 WEST","2013-10-24 16:01:53 WEST","2013-10-28 17:21:53 WET","2013-10-24 16:31:41 WEST",56,Allocated,Allocated,unknown,,,,,"/img_image.dd/System Volume Information"
WINDOWS,"2013-10-24 16:07:45 WEST","2013-10-24 16:07:45 WEST","2013-10-28 17:21:53 WET","2013-10-24 16:26:07 WEST",56,Allocated,Allocated,unknown,,,,,/img_image.dd/WINDOWS
"$AttrDef","2013-10-24 16:25:58 WEST","2013-10-24 16:25:58 WEST","2013-10-24 16:25:58 WEST","2013-10-24 16:25:58 WEST",2560,Allocated,Allocated,known,"ad617ac3906958de35eacc3d90d31043","d7de5b1b2f79f45f235ceb1adbc46908ed64eae174eb90ed66aefe5f25165da3",application/octet-stream,,"/img_image.dd/$AttrDef"
